phi,subsystem,etaBefore,etaAfter,X0Before,X0After,deltaX0,deltaLambdaI,topVolume,topVolumeDeltaX0
0,EMCAL,0.87,0.875,25.16912952,21.12332484,-4.045804683,-0.1223388101,CEMC_0_Tower_1181,-5.582882325
0,EMCAL,0.78,0.785,23.35906106,19.33997169,-4.019089369,-0.1632756335,CEMC_0_Tower_1161,-5.513558495
1.5707963267949,EMCAL,0.78,0.785,23.35906106,19.33997169,-4.019089369,-0.1632756335,CEMC_0_Tower_1161,-5.513558495
1.5707963267949,EMCAL,1.08,1.085,23.26483447,27.20412685,3.939292377,0.1854310717,CEMC_0_Tower_1242,5.861215488
0,EMCAL,1.08,1.085,23.26483447,27.20412685,3.939292377,0.1854310717,CEMC_0_Tower_1242,5.861215488
0,EMCAL,-1.015,-1.01,21.85501874,25.76276854,3.907749803,0.145566813,CEMC_0_Tower_791,5.020909844
1.5707963267949,EMCAL,-1.015,-1.01,21.85501874,25.76276854,3.907749803,0.145566813,CEMC_0_Tower_791,5.020909844
0,EMCAL,0.675,0.68,18.43019422,22.31970326,3.889509043,0.1682259806,CEMC_0_Tower_1152,4.779200559
1.5707963267949,EMCAL,0.675,0.68,18.43019422,22.31970326,3.889509043,0.1682259806,CEMC_0_Tower_1152,4.779200559
1.5707963267949,EMCAL,0.86,0.865,20.97530132,24.83814806,3.862846744,0.1640480675,CEMC_0_Tower_1192,5.512965092
0,EMCAL,0.86,0.865,20.97530132,24.83814806,3.862846744,0.1640480675,CEMC_0_Tower_1192,5.512965092
0,EMCAL,1.09,1.095,28.71305148,24.91023366,-3.802817818,-0.1145698343,CEMC_0_Tower_1231,-4.631855049
1.5707963267949,EMCAL,1.09,1.095,28.71305148,24.91023366,-3.802817818,-0.1145698343,CEMC_0_Tower_1231,-4.631855049
0,EMCAL,-0.605,-0.6,17.88880724,21.65043577,3.761628525,0.1726823172,CEMC_0_Tower_881,3.646611813
1.5707963267949,EMCAL,-0.605,-0.6,17.88880724,21.65043577,3.761628525,0.1726823172,CEMC_0_Tower_881,3.646611813
1.5707963267949,EMCAL,0.825,0.83,24.41352928,20.70348939,-3.71003989,-0.1170257864,CEMC_0_Tower_1171,-4.631189383
0,EMCAL,0.825,0.83,24.41352928,20.70348939,-3.71003989,-0.1170257864,CEMC_0_Tower_1171,-4.631189383
0,EMCAL,-0.59,-0.585,21.64968977,18.12142933,-3.528260446,-0.152843498,CEMC_0_Tower_872,-3.8512507
1.5707963267949,EMCAL,-0.59,-0.585,21.64968977,18.12142933,-3.528260446,-0.152843498,CEMC_0_Tower_872,-3.8512507
1.5707963267949,EMCAL,-0.745,-0.74,18.82995012,22.3447552,3.514805079,0.1726199481,CEMC_0_Tower_851,4.008616122
0,EMCAL,-0.745,-0.74,18.82995012,22.3447552,3.514805079,0.1726199481,CEMC_0_Tower_851,4.008616122
1.5707963267949,EMCAL,0.995,1,23.87815966,27.28885577,3.41069611,0.1313627123,CEMC_0_Tower_1222,5.930423484
0,EMCAL,0.995,1,23.87815966,27.28885577,3.41069611,0.1313627123,CEMC_0_Tower_1222,5.930423484
0,EMCAL,0.905,0.91,21.98693908,25.36720445,3.380265376,0.1515938663,CEMC_0_Tower_1202,5.851548318
1.5707963267949,EMCAL,0.905,0.91,21.98693908,25.36720445,3.380265376,0.1515938663,CEMC_0_Tower_1202,5.851548318
1.5707963267949,EMCAL,0.69,0.695,21.81939869,18.60233007,-3.217068612,-0.1496192309,CEMC_0_Tower_1141,-2.810908524
0,EMCAL,0.69,0.695,21.81939869,18.60233007,-3.217068612,-0.1496192309,CEMC_0_Tower_1141,-2.810908524
1.5707963267949,EMCAL,-0.955,-0.95,22.26380546,19.0560667,-3.207738764,-0.1481325792,CEMC_0_Tower_792,-2.660730659
0,EMCAL,-0.955,-0.95,22.26380546,19.0560667,-3.207738764,-0.1481325792,CEMC_0_Tower_792,-2.660730659
1.5707963267949,EMCAL,-0.97,-0.965,22.44618345,25.64883426,3.202650803,0.1005948936,CEMC_0_Tower_801,4.772130391
0,EMCAL,-0.97,-0.965,22.44618345,25.64883426,3.202650803,0.1005948936,CEMC_0_Tower_801,4.772130391
