phi,eta,subsystem,volume,sumX0,sumLambdaI
0,-1.09,EMCAL,CEMC_0_Tower762_fiber_Tower762,0.00252716596775854,0.00262123641627554
0,-1.09,EMCAL,CEMC_0_Tower771_fiber_Tower771,0.00504636411832092,0.00523420842377888
0,-1.09,EMCAL,CEMC_0_Tower772_fiber_Tower772,0.00136653997504098,0.00141740763866442
0,-1.09,EMCAL,CEMC_0_Tower_762,8.87281167302681,0.325851657648467
0,-1.09,EMCAL,CEMC_0_Tower_771,10.6870207432439,0.392478005038239
0,-1.09,EMCAL,CEMC_0_Tower_772,9.30757210817393,0.34181811943006
0,-1.09,EMCAL,CEMC_0_Tower_Lightguide_771_0_1,0.0620254888274135,0.0643343065417706
0,-1.09,EMCAL,CEMC_0_fiber_core_Tower762,0.0110395912142024,0.00663380333174485
0,-1.09,EMCAL,CEMC_0_fiber_core_Tower771,0.0306562243826742,0.0184216389450063
0,-1.09,EMCAL,CEMC_0_fiber_core_Tower772,0.00808128043282126,0.00485612411001643
0,-1.09,EMCAL,CEMC_0_sec0,1.77468755241051e-26,3.19664347944639e-26
0,-1.09,EMCAL,CEMC_ELECTRONICS_0,0.15643930310067,0.0606833219594766
0,-1.09,EMCAL,CEMC_SPT_0,0.472510973035352,0.0498562914674531
0,-1.09,IHCAL,IHCalEnvelope,2.8044559364804e-26,5.05150654297884e-26
0,-1.09,IHCAL,av_7_impr_370_InnerHCalTile12_EJ200_pv_22,0.0506052557820074,0.0304092160567137
0,-1.09,IHCAL,av_7_impr_372_InnerHCalTile12_EJ200_pv_22,0.0488155519644662,0.0293337647182287
0,-1.09,IHCAL,av_7_impr_374_InnerHCalTile12_EJ200_pv_22,0.0471755594674053,0.0283482764442569
0,-1.09,IHCAL,av_7_impr_376_InnerHCalTile12_EJ200_pv_22,0.0456687936820609,0.0274428454647005
0,-1.09,IHCAL,av_8_impr_23_InnerHCalSectorNoEndPlate_Aluminum_pv_0,0.160705802456637,0.036758231839299
0,-1.09,IHCAL,av_8_impr_24_InnerHCalSectorNoEndPlate_Aluminum_pv_0,1.60290736679006,0.366632938603993
0,-1.09,MAGNET,CRYOSTAT,0.81696355223783,0.186864040988927
0,-1.09,OHCAL,HCAL_SPT_N1_0,1.43479573847105,0.328180772508125
0,-1.09,OHCAL,OHCal,7.95890300680833e-26,1.43359180976411e-25
0,-1.09,OHCAL,av_10_impr_448_OuterHCalTile12_EJ200_pv_22,0.135967993152396,0.0817045584826203
0,-1.09,OHCAL,av_10_impr_450_OuterHCalTile12_EJ200_pv_22,0.149996035787228,0.090134152854655
0,-1.09,OHCAL,av_13_impr_23_OuterHCalSector_Steel_pv_0,29.4969135483775,3.09455885206614
0,-1.085,EMCAL,CEMC_0,1.89664020247089e-27,3.41630983315875e-27
0,-1.085,EMCAL,CEMC_0_Tower771_fiber_Tower771,0.00601872984606958,0.006242769194235
0,-1.085,EMCAL,CEMC_0_Tower772_fiber_Tower772,0.00420788965797799,0.00436452284807557
0,-1.085,EMCAL,CEMC_0_Tower_762,2.82880968059312,0.103887285965448
0,-1.085,EMCAL,CEMC_0_Tower_771,10.560619810775,0.387835964285984
0,-1.085,EMCAL,CEMC_0_Tower_772,9.08622445474595,0.333689185508768
0,-1.085,EMCAL,CEMC_0_Tower_Lightguide_771_0_1,0.0413567256772871,0.0428961757107598
0,-1.085,EMCAL,CEMC_0_fiber_core_Tower771,0.0166529704974073,0.0100069403862551
0,-1.085,EMCAL,CEMC_0_fiber_core_Tower772,0.0334064265564872,0.0200742635748152
0,-1.085,EMCAL,CEMC_0_sec0,2.45858892458139e-26,4.42851601890555e-26
0,-1.085,EMCAL,CEMC_ELECTRONICS_0,0.155818655842835,0.0604425708398796
0,-1.085,EMCAL,CEMC_SPT_0,0.47063636330558,0.0496584948142349
0,-1.085,IHCAL,IHCalEnvelope,2.79332920743024e-26,5.03146460048736e-26
0,-1.085,IHCAL,av_7_impr_370_InnerHCalTile12_EJ200_pv_22,0.050404487735802,0.030288572483235
0,-1.085,IHCAL,av_7_impr_372_InnerHCalTile12_EJ200_pv_22,0.048621884274404,0.0292173878214163
0,-1.085,IHCAL,av_7_impr_374_InnerHCalTile12_EJ200_pv_22,0.0469883981783945,0.0282358093104181
0,-1.085,IHCAL,av_7_impr_376_InnerHCalTile12_EJ200_pv_22,0.0454876102389899,0.0273339704796599
0,-1.085,IHCAL,av_8_impr_23_InnerHCalSectorNoEndPlate_Aluminum_pv_0,0.160068316218188,0.0366124196371939
0,-1.085,IHCAL,av_8_impr_24_InnerHCalSectorNoEndPlate_Aluminum_pv_0,1.59654836910135,0.36517844531418
0,-1.085,MAGNET,CRYOSTAT,0.98454507697389,0.225194956513235
0,-1.085,OHCAL,HCAL_SPT_N1_0,1.43811930585206,0.328940971943721
0,-1.085,OHCAL,OHCal,7.94313051991443e-26,1.43075080164887e-25
0,-1.085,OHCAL,av_10_impr_448_OuterHCalTile12_EJ200_pv_22,0.135428562456716,0.0813804090574454
0,-1.085,OHCAL,av_10_impr_450_OuterHCalTile12_EJ200_pv_22,0.149400951134891,0.0897765603974033
0,-1.085,OHCAL,av_13_impr_23_OuterHCalSector_Steel_pv_0,30.7572406176982,3.22678137366889
0,-1.08,EMCAL,CEMC_0,1.88913303831991e-27,3.40278760649989e-27
0,-1.08,EMCAL,CEMC_0_Tower771_fiber_Tower771,0.00401811730856202,0.00416768647110723
0,-1.08,EMCAL,CEMC_0_Tower772_fiber_Tower772,0.0032116474436051,0.00333119682000256
0,-1.08,EMCAL,CEMC_0_Tower_771,8.58276210286763,0.31519966403928
0,-1.08,EMCAL,CEMC_0_Tower_772,11.6311743575097,0.427151796348222
0,-1.08,EMCAL,CEMC_0_Tower_Lightguide_771_0_1,0.0102275353626186,0.0106082419925193
0,-1.08,EMCAL,CEMC_0_fiber_core_Tower771,0.0312760776170376,0.0187941150966616
0,-1.08,EMCAL,CEMC_0_fiber_core_Tower772,0.0138691777030334,0.0083341308088092
0,-1.08,EMCAL,CEMC_0_sec0,2.90065837146877e-26,5.22479050279179e-26
0,-1.08,EMCAL,CEMC_ELECTRONICS_0,0.155201904059511,0.0602033307877017
0,-1.08,EMCAL,CEMC_SPT_0,0.468773519509402,0.0494619396259735
0,-1.08,IHCAL,IHCalEnvelope,2.81079707711811e-26,5.06292847798045e-26
0,-1.08,IHCAL,av_7_impr_370_InnerHCalTile12_EJ200_pv_22,0.0502049798044168,0.0301686861256469
0,-1.08,IHCAL,av_7_impr_372_InnerHCalTile12_EJ200_pv_22,0.0484294321339818,0.0291017413608217
0,-1.08,IHCAL,av_7_impr_374_InnerHCalTile12_EJ200_pv_22,0.0468024116017855,0.0281240480732826
0,-1.08,IHCAL,av_7_impr_376_InnerHCalTile12_EJ200_pv_22,0.0453075639885441,0.0272257788453049
0,-1.08,IHCAL,av_8_impr_23_InnerHCalSectorNoEndPlate_Aluminum_pv_0,0.159434830653912,0.0364675225091343
0,-1.08,IHCAL,av_8_impr_24_InnerHCalSectorNoEndPlate_Aluminum_pv_0,1.57000780062061,0.359107822135374
0,-1.08,MAGNET,CRYOSTAT,1.15226799902068,0.263558213838832
0,-1.08,OHCAL,HCAL_SPT_N1_0,1.44148499003653,0.329710804754109
0,-1.08,OHCAL,OHCal,7.9275674156239e-26,1.42794750842789e-25
0,-1.08,OHCAL,av_10_impr_448_OuterHCalTile12_EJ200_pv_22,0.13489251748215,0.0810582941467354
0,-1.08,OHCAL,av_10_impr_450_OuterHCalTile12_EJ200_pv_22,0.148809601514114,0.0894212123588373
0,-1.08,OHCAL,av_13_impr_23_OuterHCalSector_Steel_pv_0,32.0192782513098,3.35918335275488
0,-1.075,EMCAL,CEMC_0,1.88167310259329e-27,3.38935044970842e-27
0,-1.075,EMCAL,CEMC_0_Tower771_fiber_Tower771,0.00333273575243643,0.00345679248278977
0,-1.075,EMCAL,CEMC_0_Tower772_fiber_Tower772,0.00423532500905994,0.00439297944422589
0,-1.075,EMCAL,CEMC_0_Tower_771,8.26508472151243,0.303533046384507
0,-1.075,EMCAL,CEMC_0_Tower_772,11.1592528765522,0.409820605005865
0,-1.075,EMCAL,CEMC_0_Tower_Lightguide_771_0_0,0.0619487474647833,0.0642547085822669
0,-1.075,EMCAL,CEMC_0_fiber_core_Tower771,0.021728640828787,0.013056962629092
0,-1.075,EMCAL,CEMC_0_fiber_core_Tower772,0.0338628581015167,0.0203485379610112
0,-1.075,EMCAL,CEMC_0_sec0,2.53896319042518e-26,4.5732896003035e-26
0,-1.075,EMCAL,CEMC_ELECTRONICS_0,0.154589032331873,0.059965595821929
0,-1.075,EMCAL,CEMC_SPT_0,0.466922395075628,0.0492666209887788
0,-1.075,IHCAL,IHCalEnvelope,2.80022991844296e-26,5.04389445769372e-26
0,-1.075,IHCAL,av_7_impr_370_InnerHCalTile12_EJ200_pv_22,0.0500067270001399,0.0300495539867822
0,-1.075,IHCAL,av_7_impr_372_InnerHCalTile12_EJ200_pv_22,0.0482381907318846,0.0289868224452764
0,-1.075,IHCAL,av_7_impr_374_InnerHCalTile12_EJ200_pv_22,0.0466175950879041,0.0280129899388138
