phi,eta,subsystem,sumX0,sumLambdaI
0,-1.1,EMCAL,24.9267202540465,1.13412055951897
0,-1.1,IHCAL,1.95652857773899,0.514058817573704
0,-1.1,INTT,0.0913385764822513,0.0376441976737786
0,-1.1,MAGNET,0.482167250843284,0.11028609621359
0,-1.1,MVTX,0.0246907833624361,0.0109569020528339
0,-1.1,OHCAL,29.7969856371498,3.30288661618791
0,-1.1,OTHER,2.98678081881764e-25,5.37991795572163e-25
0,-1.1,PIPE,0.00359698263539662,0.00321939776082558
0,-1.1,TPC,0.0716021867289335,0.0254394718340524
0,-1.095,EMCAL,27.5824041887126,1.21658647098267
0,-1.095,IHCAL,1.96368648725208,0.520996913373031
0,-1.095,INTT,0.0909745454229059,0.0374941662447246
0,-1.095,MAGNET,0.649509014205864,0.148562171128425
0,-1.095,MVTX,0.0254448208026731,0.0113673762427366
0,-1.095,OHCAL,29.9742697064118,3.46429115850147
0,-1.095,OTHER,2.9109019099562e-25,5.24324160449013e-25
0,-1.095,PIPE,0.0035826468153122,0.00320656681006557
0,-1.095,TPC,0.063956359401321,0.0238265631836934
0,-1.09,EMCAL,29.6170974554989,1.27420612095095
0,-1.09,IHCAL,1.95587833014264,0.518925273127191
0,-1.09,INTT,0.0906127887319344,0.0373450721717795
0,-1.09,MAGNET,0.81696355223783,0.186864040988927
0,-1.09,MVTX,0.0246380161117521,0.0109462495266125
0,-1.09,OHCAL,31.2176733157882,3.59457833591154
0,-1.09,OTHER,2.83443749819952e-25,5.10551062028411e-25
0,-1.09,PIPE,0.00356840056158487,0.00319381602364292
0,-1.09,TPC,0.0685296290106922,0.0251051560522883
0,-1.085,EMCAL,23.2037517074978,1.01909817312845
0,-1.085,IHCAL,1.94811906574713,0.516866605046103
0,-1.085,INTT,0.0902532973654006,0.0371969117275838
0,-1.085,MAGNET,0.98454507697389,0.225194956513235
0,-1.085,MVTX,0.0258870150030064,0.0116203076168912
0,-1.085,OHCAL,32.4801894371419,3.72687931506746
