region,eta,subsystem,nsamples,meanX0,rmsX0,meanLambdaI,rmsLambdaI
SECTOR,-1.1,PIPE,131,0.00377676454803865,0.00196673850284209,0.00324704275500693,0.000240833009324443
SECTOR,-1.1,MVTX,131,0.0410598404015838,0.0396938350293297,0.0173988280387843,0.0195277959451238
SECTOR,-1.1,INTT,131,0.0924757356300511,0.0263009772476275,0.0405269702082136,0.0108781308942867
SECTOR,-1.1,TPC,131,0.29244140408962,0.458900290861098,0.0707512377903357,0.0762755951172026
SECTOR,-1.1,EMCAL,131,17.5358422603102,10.6773062238305,0.76258946744559,0.460155391498158
SECTOR,-1.1,MAGNET,131,0.586239431588203,0.553427316422923,0.134090521998872,0.126585408194978
SECTOR,-1.1,IHCAL,131,1.59115540545158,0.318588693032341,0.397874917886866,0.0974933420784075
SECTOR,-1.1,OHCAL,131,28.9965471626161,6.26947756815848,3.28878313555585,0.731475196123408
SECTOR,-1.1,OTHER,131,0.0130550865872453,0.0199219988664543,0.0029404184986197,0.00479683507645067
SECTOR,-1.08,PIPE,141,0.0037905921614104,0.00206783540918266,0.00319488417858524,0.000228593485686601
SECTOR,-1.08,MVTX,141,0.0418673922288723,0.0271729759579927,0.0165933938181245,0.00773653954786162
SECTOR,-1.08,INTT,141,0.0895330793133454,0.0255894449336282,0.0392524301872317,0.010574941055888
SECTOR,-1.08,TPC,141,0.235641747916677,0.284752860373723,0.0614939493424351,0.0658123474987091
SECTOR,-1.08,EMCAL,141,19.5725115972522,10.4438334632741,0.847081099840071,0.445672751255077
SECTOR,-1.08,MAGNET,141,0.711168383223373,0.502280424642379,0.162665516164906,0.114886581661095
SECTOR,-1.08,IHCAL,141,1.64254414117294,0.308961522825723,0.417298350078667,0.0931964453419307
SECTOR,-1.08,OHCAL,141,32.5874246642475,6.3742091256646,3.70523161450825,0.737615192339167
SECTOR,-1.08,OTHER,141,0.0117030345362172,0.0194115869705,0.00261113658743409,0.00445543635912451
SECTOR,-1.06,PIPE,141,0.00364696448059183,0.00183701511732764,0.00314418602379411,0.000224948422934708
SECTOR,-1.06,MVTX,141,0.038272694800575,0.0258483286162926,0.0157887015281156,0.00958395055991407
SECTOR,-1.06,INTT,141,0.0919098283490072,0.024043941862815,0.0402782125100818,0.0100962291626517
SECTOR,-1.06,TPC,141,0.207442622456967,0.276170964126788,0.0537195622838915,0.0558223008518538
SECTOR,-1.06,EMCAL,141,21.4874224304436,7.41844362832235,0.928413199801,0.319391878211885
SECTOR,-1.06,MAGNET,141,0.905578921776884,0.469262815367522,0.207133030958476,0.107334465197645
SECTOR,-1.06,IHCAL,141,1.69756188324744,0.20668221943742,0.43493033066685,0.0634030918563079
SECTOR,-1.06,OHCAL,141,38.0767991909137,7.11697435468341,4.33001453415447,0.798390981360693
SECTOR,-1.06,OTHER,141,0.0120449427191781,0.0195030460557875,0.00280802757665347,0.00484442528027632
SECTOR,-1.04,PIPE,138,0.00359370561310819,0.00182792065147251,0.00309581195508958,0.000223834349673049
SECTOR,-1.04,MVTX,138,0.0403556133868084,0.0322634642662987,0.017083370767533,0.0130285815596695
SECTOR,-1.04,INTT,138,0.088208238993199,0.0249269869853592,0.0386602085054525,0.0102838845917862
SECTOR,-1.04,TPC,138,0.186584720281268,0.347869034845327,0.0483076859338525,0.0616045500038539
SECTOR,-1.04,EMCAL,138,21.4642064857153,7.47874192052811,0.93986557714246,0.317803549905332
SECTOR,-1.04,MAGNET,138,1.0386142950113,0.48812439593573,0.23756220661626,0.111648673774955
SECTOR,-1.04,IHCAL,138,1.68932187544007,0.176245063274073,0.438548395514673,0.055257146534044
SECTOR,-1.04,OHCAL,138,42.2334316579689,6.97463576329042,4.79126811217149,0.765881685944653
SECTOR,-1.04,OTHER,138,0.00888682335022023,0.0169206987036846,0.00203174817556254,0.00411751119392826
SECTOR,-1.02,PIPE,137,0.0035396373959884,0.0018063601950231,0.00304840502100166,0.000221194571272467
SECTOR,-1.02,MVTX,137,0.0406773031315846,0.0260286151089193,0.0165160662684846,0.00794319370662878
SECTOR,-1.02,INTT,137,0.0882491059825949,0.0269072880509297,0.0391545884200402,0.0112896885437143
SECTOR,-1.02,TPC,137,0.166978430464125,0.228303827356581,0.0456017589407887,0.049953055136942
SECTOR,-1.02,EMCAL,137,22.0558858486048,6.08766087726219,0.959313453755019,0.258003776725439
SECTOR,-1.02,MAGNET,137,1.20065170952216,0.528044255342533,0.27462501802805,0.120779541638071
SECTOR,-1.02,IHCAL,137,1.64918828725953,0.125209844114203,0.430776732935575,0.0385579794541546
SECTOR,-1.02,OHCAL,137,45.288596518358,6.48312362548427,5.10798209064953,0.680387261287261
SECTOR,-1.02,OTHER,137,0.0130067980994692,0.020301412137733,0.00287566798103767,0.00471695509408148
SECTOR,-1,PIPE,132,0.00338189193692941,0.00055622385393713,0.002983586023862,2.24911027462492e-06
SECTOR,-1,MVTX,132,0.037684130126606,0.0274236556692006,0.0146438517953249,0.00703529750743491
SECTOR,-1,INTT,132,0.0896320229540428,0.0203184685911394,0.0390169193611566,0.00864248111298745
SECTOR,-1,TPC,132,0.0946126679451791,0.108851924639606,0.0298563985587009,0.0232353873639574
SECTOR,-1,EMCAL,132,23.6099006205825,3.17583315284842,1.02616275094062,0.12725891708404
SECTOR,-1,MAGNET,132,1.53730759986014,0.631556018813837,0.351628306508865,0.144455783202525
SECTOR,-1,IHCAL,132,1.67666056341041,0.139128375174103,0.441113793248304,0.0321673706206465
SECTOR,-1,OHCAL,132,48.8682292858387,3.45728100639297,5.45429373791219,0.342674052782662
SECTOR,-1,OTHER,132,0.00857711922201257,0.0168349528301229,0.00196858984719022,0.00399164293443593
SECTOR,-0.98,PIPE,134,0.00343680403611874,0.00177158209046657,0.00295735461191559,0.000216942265439392
SECTOR,-0.98,MVTX,134,0.0378826254179792,0.0259474256015788,0.0151826233056468,0.00728180157507713
SECTOR,-0.98,INTT,134,0.0829302432617264,0.0226669240093015,0.0362747763832847,0.00938582964836042
SECTOR,-0.98,TPC,134,0.0952265637554902,0.114895300348611,0.0298563144126007,0.0246792743276192
SECTOR,-0.98,EMCAL,134,23.0950239321683,3.24481551038511,1.00705458804522,0.12182695644512
SECTOR,-0.98,MAGNET,134,1.75738900956969,0.729255906262109,0.401967518646561,0.166802674594115
SECTOR,-0.98,IHCAL,134,1.65347412435066,0.127000379442261,0.435552120921949,0.030590436190306
SECTOR,-0.98,OHCAL,134,49.2186636411931,2.41091471449763,5.45572512521296,0.251013661164736
SECTOR,-0.98,OTHER,134,0.00928528809814649,0.0174221277776045,0.00243172113075858,0.00490215945336496
SECTOR,-0.96,PIPE,125,0.00344531830237446,0.0018818812683361,0.00291494054391766,0.000221202172683905
SECTOR,-0.96,MVTX,125,0.0350012112373281,0.022579187426632,0.0146627201906838,0.00698275341304013
SECTOR,-0.96,INTT,125,0.0852120347912339,0.0237062375321916,0.0373737574693857,0.00986303827345808
SECTOR,-0.96,TPC,125,0.0887766095657034,0.108698688063208,0.0287501430922508,0.0266366498672694
SECTOR,-0.96,EMCAL,125,22.8236540580357,3.28825423854161,0.99633318435256,0.12254230964434
SECTOR,-0.96,MAGNET,125,2.02213937082334,0.626624315141976,0.46252385830409,0.14332775481673
SECTOR,-0.96,IHCAL,125,1.59937253210988,0.120090105877949,0.422394309286085,0.0294570243375631
SECTOR,-0.96,OHCAL,125,48.9380638702345,1.5406387369381,5.39543689053223,0.199456167112295
SECTOR,-0.96,OTHER,125,0.0064375670718908,0.0141872022642084,0.00144708028499099,0.00341451953697621
SECTOR,-0.94,PIPE,132,0.00318688962823138,7.99837968815196e-08,0.00285235331195727,7.15877324740258e-08
SECTOR,-0.94,MVTX,132,0.0354559567468209,0.0224356470772494,0.0144902088925958,0.00696820749833307
SECTOR,-0.94,INTT,132,0.0830556656502337,0.0217050285617885,0.036315910522853,0.0091107855313696
SECTOR,-0.94,TPC,132,0.0829906683497087,0.096110335161439,0.0270430036553149,0.0206364786829726
SECTOR,-0.94,EMCAL,132,21.9017305675846,2.54490993531815,0.960533160433225,0.097295488704988
SECTOR,-0.94,MAGNET,132,2.21042895825435,0.613354519439074,0.50559132818952,0.14029255497048
SECTOR,-0.94,IHCAL,132,1.61380500450885,0.138377016516655,0.425333043896373,0.030742048404834
SECTOR,-0.94,OHCAL,132,47.4914623176616,2.38184573823033,5.21003221022869,0.280442757144999
SECTOR,-0.94,OTHER,132,0.00805274163136209,0.0155902828958526,0.00200224711569513,0.00430985752209572
SECTOR,-0.92,PIPE,129,0.00344594757799505,0.00243270707631615,0.00284836417558479,0.000297899534488176
SECTOR,-0.92,MVTX,129,0.0334381111282194,0.0238388428212491,0.0136273477242975,0.00713495778728381
SECTOR,-0.92,INTT,129,0.0846875473583496,0.0189622930676036,0.0368754530318784,0.00830252414478861
SECTOR,-0.92,TPC,129,0.0682490731112874,0.0537429874497195,0.0237638576283874,0.011366512333787
SECTOR,-0.92,EMCAL,129,22.5334931351965,2.93077193447104,0.982844600047701,0.108245286796249
