phi,eta,subsystem,sumX0,sumLambdaI
0,-1.1,EMCAL,27.0223327948714,1.20278701957237
0,-1.1,IHCAL,1.95977628493934,0.519959468500828
0,-1.1,INTT,0.0907933833479494,0.0374195022722466
0,-1.1,MAGNET,0.733221302731839,0.167709679571789
0,-1.1,MVTX,0.024860200775084,0.0110602751134715
0,-1.1,OHCAL,30.5870393307475,3.52849657917911
0,-1.1,OTHER,2.8723338410676e-25,5.17377114150068e-25
0,-1.1,PIPE,0.00357551251496616,0.00320018141628216
0,-1.1,TPC,0.0641121137166163,0.0239302716074812
0,-1.08,EMCAL,19.9915173961331,0.922985905925997
0,-1.08,IHCAL,1.92893335593668,0.511776308922472
0,-1.08,INTT,0.0893644209030688,0.036830570992439
0,-1.08,MAGNET,1.21049249291312,0.276875900023819
0,-1.08,MVTX,0.0224913341714595,0.00983262495991664
0,-1.08,OHCAL,35.6444309686409,4.05850434501517
0,-1.08,OTHER,2.6649368670924e-25,4.80019879992751e-25
0,-1.08,PIPE,0.00351923888668306,0.00314981498106356
0,-1.08,TPC,0.0675854997616286,0.0247592835811623
0,-1.06,EMCAL,26.2748431458896,1.16407332047424
0,-1.06,IHCAL,1.87324599861913,0.48840519013311
0,-1.06,INTT,0.087971205418091,0.0362563724321093
0,-1.06,MAGNET,1.2680231658112,0.290034888560211
0,-1.06,MVTX,0.0221406881903315,0.00967933167816423
0,-1.06,OHCAL,40.7609808995861,4.59811349873245
0,-1.06,OTHER,2.58909328155412e-25,4.66358607458357e-25
0,-1.06,PIPE,0.00346437300087845,0.00310070851383548
0,-1.06,TPC,0.0665318235460036,0.024373279655509
0,-1.04,EMCAL,20.530936100827,0.931434026075431
0,-1.04,IHCAL,1.84432891429985,0.480865718433419
0,-1.04,INTT,0.0866131795882454,0.0356966769041771
0,-1.04,MAGNET,1.1943819306564,0.273190931756083
0,-1.04,MVTX,0.0217988987796929,0.00952991025814259
0,-1.04,OHCAL,48.3825966293032,5.47072859014622
0,-1.04,OTHER,2.49623214304332e-25,4.49632060156477e-25
0,-1.04,PIPE,0.00341089291046644,0.00305284237135626
0,-1.04,TPC,0.0655047609469089,0.0239970253667002
0,-1.02,EMCAL,24.8966715491966,1.11056691149869
0,-1.02,IHCAL,1.84098368040295,0.488441838012966
0,-1.02,INTT,0.0852898001850929,0.0351512605229687
0,-1.02,MAGNET,0.922726087358245,0.211055101463656
0,-1.02,MVTX,0.0226411516900277,0.0100104596597951
0,-1.02,OHCAL,50.2011796315064,5.65965210641787
0,-1.02,OTHER,2.30457522741909e-25,4.15109992945894e-25
0,-1.02,PIPE,0.00335877722269777,0.00300619740653067
0,-1.02,TPC,0.06450390112561,0.0236303702080038
0,-1,EMCAL,20.5912396697546,0.874941403343865
0,-1,IHCAL,1.81315492456046,0.481058431897557
0,-1,INTT,0.0840005378392269,0.0346199051146592
0,-1,MAGNET,1.18818563123706,0.271773652434988
0,-1,MVTX,0.0211413462766534,0.00924244544593746
0,-1,OHCAL,49.56222536568,5.47607032700732
0,-1,OTHER,2.244188417376e-25,4.04232861232956e-25
0,-1,PIPE,0.00330800509060254,0.00296075496075091
0,-1,TPC,0.0635288437248076,0.0232731675124644
0,-0.98,EMCAL,20.1634022691538,0.895795968748762
0,-0.98,IHCAL,1.76195290969603,0.459388254881956
0,-0.98,INTT,0.0827448768285189,0.0341023981300005
0,-0.98,MAGNET,1.8834638685641,0.430804616157549
0,-0.98,MVTX,0.0208253201544842,0.00910428706399627
0,-0.98,OHCAL,48.7856866967972,5.39848029369954
0,-0.98,OTHER,2.22230753084619e-25,4.00291581926917e-25
0,-0.98,PIPE,0.0032585562046508,0.00291649685643265
0,-0.98,TPC,0.0625791987085747,0.0229252743942449
0,-0.96,EMCAL,20.5941949087911,0.89845074640818
0,-0.96,IHCAL,1.7359190192251,0.452600552037597
0,-0.96,INTT,0.0815223148718218,0.0335985325592983
0,-0.96,MAGNET,2.50892964379446,0.57386737818612
0,-0.96,MVTX,0.0228259070266173,0.0101995192308193
0,-0.96,OHCAL,49.2720119055989,5.40816328151646
0,-0.96,OTHER,2.19721560530659e-25,3.95771916476287e-25
0,-0.96,PIPE,0.00321041078462898,0.00287340538974417
0,-0.96,TPC,0.0616545862062171,0.0225865516914565
0,-0.94,EMCAL,19.4164204899695,0.887766938048493
0,-0.94,IHCAL,1.73397882165649,0.460051711870231
0,-0.94,INTT,0.0803323629280523,0.0331081068496065
0,-0.94,MAGNET,2.69651175878838,0.616773027928999
0,-0.94,MVTX,0.0202181360449655,0.00883884200035505
0,-0.94,OHCAL,44.9667604245787,4.91871929103836
0,-0.94,OTHER,2.23635791181541e-25,4.02822396922941e-25
0,-0.94,PIPE,0.00316354957172704,0.00283146332352414
0,-0.94,TPC,0.0607546363604141,0.0222568639105028
0,-0.92,EMCAL,24.0440573582324,1.06233967833704
0,-0.92,IHCAL,1.70898349944127,0.453420199125869
0,-0.92,INTT,0.0791745450005663,0.0326309248241016
0,-0.92,MAGNET,2.65764735169011,0.607883573630666
0,-0.92,MVTX,0.0202787335645375,0.00895284424627393
0,-0.92,OHCAL,44.3040109528669,4.84443974002802
0,-0.92,OTHER,2.31843434902252e-25,4.17606357483093e-25
0,-0.92,PIPE,0.003117953820835,0.00279065388038687
0,-0.92,TPC,0.0598789891792279,0.0219360791718754
0,-0.9,EMCAL,19.4471404902864,0.883495987005126
0,-0.9,IHCAL,1.66195493354796,0.433315854550508
0,-0.9,INTT,0.0780483979467552,0.0321667956036113
0,-0.9,MAGNET,2.495078397449,0.570699183157399
0,-0.9,MVTX,0.0196433052665511,0.00858754096963465
0,-0.9,OHCAL,43.6738152656442,4.77553088840611
0,-0.9,OTHER,2.39826567288947e-25,4.31985918580945e-25
0,-0.9,PIPE,0.00307360529304457,0.00275096073601096
0,-0.9,TPC,0.0590272943921106,0.0216240691574018
0,-0.88,EMCAL,24.6692466578584,1.08053308630808
0,-0.88,IHCAL,1.63864411744689,0.427237962574199
0,-0.88,INTT,0.076953471292782,0.0317155335302586
0,-0.88,MAGNET,2.2992363589791,0.525904241444576
0,-0.88,MVTX,0.0216294379857634,0.00967200223376141
0,-0.88,OHCAL,42.021910108969,4.59951065682452
0,-0.88,OTHER,2.47588381701024e-25,4.45966832232668e-25
0,-0.88,PIPE,0.00303048624835328,0.0027123680126094
0,-0.88,TPC,0.0581992113097912,0.0213207090589158
0,-0.86,EMCAL,19.1121138201945,0.869454656695103
0,-0.86,IHCAL,1.63808534229514,0.434609316028043
